date,offset,size
2019-10-04,30701873866,36929923
2019-10-05,30738803789,33796937
2019-10-06,30772600726,34550376
2019-10-07,30807151102,32977131
2019-10-08,30840128233,32439294
2019-10-09,30872567527,33253755
2019-10-10,30905821282,33015372
2019-10-11,30938836654,34494786
2019-10-12,30973331440,33539224
2019-10-13,31006870664,32935542
2019-10-14,31039806206,34148740
2019-10-15,31073954946,32421795
2019-10-16,31106376741,31242622
2019-10-17,31137619363,30729678
2019-10-18,31168349041,30672180
2019-10-19,31199021221,30286094
2019-10-20,31229307315,30478146
2019-10-21,31259785461,30511257
2019-10-22,31290296718,32016989
2019-10-23,31322313707,30525193
2019-10-24,31352838900,31712937
2019-10-25,31384551837,31748407
2019-10-26,31416300244,32095820
2019-10-27,31448396064,25903993
2019-10-28,31474300057,24629368
2019-10-29,31498929425,25374495
2019-10-30,31524303920,26892935
2019-10-31,31551196855,27563516
2019-11-01,31578760371,24238531
2019-11-02,31602998902,24105394
2019-11-03,31627104296,22244218
2019-11-04,31649348514,22154351
2019-11-05,31671502865,22557193
2019-11-06,31694060058,20645279
2019-11-07,31714705337,19433529
2019-11-08,31734138866,20414723
2019-11-09,31754553589,20236474
2019-11-10,31774790063,19891185
2019-11-11,31794681248,21271206
2019-11-12,31815952454,21628034
2019-11-13,31837580488,21393283
2019-11-14,31858973771,21362785
2019-11-15,31880336556,20997112
2019-11-16,31901333668,20630243
2019-11-17,31921963911,20976665
2019-11-18,31942940576,21080387
2019-11-19,31964020963,21915661
2019-11-20,31985936624,20270667
2019-11-21,32006207291,20593783
2019-11-22,32026801074,21965430
2019-11-23,32048766504,20838771
2019-11-24,32069605275,20995040
2019-11-25,32090600315,21279510
2019-11-26,32111879825,20426236
2019-11-27,32132306061,21985366
2019-11-28,32154291427,19560360
2019-11-29,32173851787,19582579
2019-11-30,32193434366,19154219
2019-12-01,32212588585,18772571
2019-12-02,32231361156,18630211
2019-12-03,32249991367,20298614
2019-12-04,32270289981,19315285
2019-12-05,32289605266,19603746
2019-12-06,32309209012,18697184
2019-12-07,32327906196,18386774
2019-12-08,32346292970,17073835
2019-12-09,32363366805,16905964
2019-12-10,32380272769,18677789
2019-12-11,32398950558,19952538
2019-12-12,32418903096,19901847
2019-12-13,32438804943,19869565
2019-12-14,32458674508,20925917
2019-12-15,32479600425,25220926
2019-12-16,32504821351,27644480
2019-12-17,32532465831,32224086
2019-12-18,32564689917,21578238
2019-12-19,32586268155,26127452
2019-12-20,32612395607,27136354
2019-12-21,32639531961,27017588
2019-12-22,32666549549,27317053
2019-12-23,32693866602,27552399
2019-12-24,32721419001,28259182
2019-12-25,32749678183,28199922
2019-12-26,32777878105,28131864
2019-12-27,32806009969,36440167
2019-12-28,32842450136,27528141
2019-12-29,32869978277,28648967
2019-12-30,32898627244,27576977
2019-12-31,32926204221,25894261
2020-01-01,32952098482,25056950
2020-01-02,32977155432,26496425
2020-01-03,33003651857,24413900
2020-01-04,33028065757,25485025
2020-01-05,33053550782,23751438
2020-01-06,33077302220,27130130
2020-01-07,33104432350,23239207
2020-01-08,33127671557,22969471
2020-01-09,33150641028,23449297
2020-01-10,33174090325,23103103
2020-01-11,33197193428,25207035
2020-01-12,33222400463,20099409
2020-01-13,33242499872,21238644
2020-01-14,33263738516,21129626
2020-01-15,33284868142,20041880
2020-01-16,33304910022,21044396
2020-01-17,33325954418,21359744
2020-01-18,33347314162,20441314
2020-01-19,33367755476,21422480
2020-01-20,33389177956,17711292
